,open,high,close,low,volume,price_change,p_change
2015-09-15,13.74,14.25,13.34,13.1,80589.21,-1.12,-7.75
2015-09-14,16.62,16.64,14.46,14.46,139701.77,-1.61,-10.02
2015-09-11,15.0,16.07,16.07,14.61,114900.25,1.46,9.99
2015-09-10,14.0,15.28,14.62,13.8,81936.15,-0.02,-0.14
2015-09-09,13.95,14.88,14.63,13.95,95082.47,0.77,5.56
2015-09-08,12.89,13.98,13.85,12.67,60627.79,1.09,8.54
2015-09-07,12.92,13.38,12.77,12.63,52490.04,0.37,2.98
2015-09-02,12.3,14.11,12.36,12.3,70201.74,-1.1,-8.17
2015-09-01,14.78,14.78,13.46,13.46,78985.85,-1.5,-10.03
2015-08-31,16.13,16.2,14.95,14.95,79841.72,-1.51,-9.17
2015-08-28,15.4,16.46,16.46,15.0,117827.6,1.5,10.03
2015-08-27,15.5,16.5,14.97,14.0,138033.02,-0.59,-3.79
2015-08-26,17.0,18.35,15.56,15.56,130318.31,-1.73,-10.01
2015-08-25,17.29,17.29,17.29,17.29,26393.0,-1.92,-9.99
2015-08-24,20.0,20.4,19.21,19.21,50832.3,-2.13,-9.98
2015-08-21,20.62,21.9,20.36,19.18,138197.38,-0.89,-4.19
2015-08-20,20.98,22.67,21.29,20.3,154746.27,0.68,3.3
2015-08-19,19.0,21.0,20.79,18.14,122236.72,0.63,3.12
2015-08-18,22.4,22.4,20.16,20.16,110214.14,-2.24,-10.0
2015-08-17,21.67,22.49,22.4,21.43,107298.51,0.46,2.1
2015-08-14,21.61,22.83,21.95,21.61,158774.2,0.57,2.67
2015-08-13,20.23,21.54,21.41,20.01,145309.73,1.41,7.05
2015-08-12,19.35,20.64,20.0,19.1,120770.27,0.31,1.57
2015-08-11,19.6,20.12,19.7,19.0,120034.65,0.15,0.77
2015-08-10,18.22,19.65,19.54,18.22,92896.78,1.57,8.74
2015-08-07,17.47,17.99,17.98,17.47,67823.78,0.61,3.51
2015-08-06,16.94,17.98,17.35,16.81,60609.0,-0.15,-0.86
2015-08-05,17.4,18.36,17.51,17.1,103235.81,0.16,0.92
2015-08-04,16.2,17.35,17.35,15.8,94292.63,1.58,10.02
2015-08-03,17.39,17.39,15.77,15.77,87853.7,-1.75,-9.99
2015-07-31,17.71,18.4,17.51,17.02,77035.64,-1.07,-5.76
2015-07-30,19.44,19.74,18.6,18.41,90045.23,-0.85,-4.37
2015-07-29,19.12,19.5,19.45,17.2,86618.22,0.82,4.4
2015-07-28,18.76,20.2,18.65,18.62,113242.29,-2.04,-9.86
2015-07-27,22.3,23.65,20.69,20.69,99276.44,-2.3,-10.0
2015-07-24,24.0,24.55,22.99,22.38,132799.91,-1.15,-4.76
2015-07-23,23.2,24.26,24.14,23.0,141147.69,1.68,7.48
2015-07-22,21.24,22.5,22.5,21.24,123186.04,1.28,6.03
2015-07-21,20.85,21.49,21.23,20.16,84652.19,0.09,0.43
2015-07-20,21.1,21.49,21.16,20.1,118484.16,0.06,0.28
2015-07-17,20.5,21.97,21.12,20.2,95870.55,1.05,5.23
2015-07-16,19.98,22.3,20.08,19.89,148633.12,-2.02,-9.14
2015-07-15,22.78,23.04,22.1,22.1,85966.42,-2.46,-10.02
2015-07-14,26.4,26.99,24.56,24.56,203821.83,-2.73,-10.0
2015-07-13,25.63,27.9,27.28,25.63,215671.91,1.67,6.52
2015-07-10,22.2,25.61,25.61,22.1,164179.59,2.33,10.01
2015-07-01,25.0,25.8,23.27,22.8,124199.99,-1.74,-6.96
2015-06-30,23.82,25.13,25.01,21.44,174521.44,1.19,5.0
2015-06-29,26.5,26.98,23.83,22.82,168452.12,-1.45,-5.74
2015-06-26,27.0,27.5,25.29,24.27,150289.14,-1.68,-6.23
2015-06-25,28.0,28.5,26.97,26.0,109642.01,-1.07,-3.82
2015-06-24,27.6,28.5,28.05,27.48,100785.98,0.87,3.2
2015-06-23,26.8,28.8,27.19,25.31,86795.67,-0.88,-3.13
2015-06-19,30.98,30.98,28.07,28.07,76310.31,-3.12,-10.0
2015-06-18,30.94,32.89,31.2,30.38,86382.05,-0.12,-0.38
2015-06-17,31.45,32.2,31.33,29.8,90811.36,-1.03,-3.18
2015-06-16,30.48,33.48,32.35,29.61,153130.61,0.66,2.08
2015-06-15,34.99,34.99,31.69,31.69,199369.53,-3.52,-10.0
2015-06-12,34.69,35.98,35.21,34.01,159825.88,0.82,2.38
2015-06-11,33.17,34.98,34.39,32.51,173075.73,0.54,1.59
2015-06-10,34.1,36.35,33.85,32.23,269033.12,0.51,1.53
2015-06-09,30.46,33.34,33.34,30.46,204438.47,3.03,10.0
2015-06-08,28.4,30.9,30.31,28.4,179868.05,2.12,7.52
2015-06-05,27.37,28.35,28.19,27.37,139291.88,1.19,4.41
2015-06-04,27.42,27.55,27.0,25.0,88896.11,-0.42,-1.53
2015-06-03,28.25,28.5,27.42,26.62,119660.61,-0.82,-2.9
2015-06-02,27.5,28.59,28.24,27.4,112623.23,1.06,3.9
2015-06-01,25.86,27.79,27.18,25.86,98091.02,1.38,5.35
2015-05-29,25.5,26.58,25.8,23.7,128398.88,0.53,2.1
2015-05-28,27.95,27.95,25.27,25.26,182366.2,-2.8,-9.97
2015-05-27,29.66,29.66,28.07,27.95,184613.42,-1.59,-5.36
2015-05-26,29.92,30.3,29.66,28.7,198210.12,-0.26,-0.87
2015-05-25,29.3,30.3,29.92,28.1,151819.52,0.38,1.29
2015-05-22,29.87,30.99,29.54,28.53,209382.62,1.32,4.68
2015-05-21,27.5,28.22,28.22,26.5,121190.11,2.57,10.02
2015-05-20,24.1,25.65,25.65,24.1,164143.16,2.33,9.99
2015-05-19,23.68,23.69,23.32,22.47,82945.73,0.25,1.08
2015-05-18,22.28,24.45,23.07,22.08,109886.22,0.79,3.55
2015-05-15,22.35,22.51,22.28,21.57,110637.16,0.14,0.63
2015-05-14,20.84,22.59,22.14,20.72,126074.32,1.36,6.54
2015-05-13,21.21,21.21,20.78,20.7,72436.6,-0.43,-2.03
2015-05-12,20.78,21.47,21.21,20.4,83175.93,0.63,3.06
2015-05-11,20.31,20.84,20.58,20.15,78920.74,0.58,2.9
2015-05-08,19.1,20.18,20.0,19.1,89248.75,1.19,6.33
2015-05-07,19.56,19.6,18.81,18.59,69051.38,-0.66,-3.39
2015-05-06,20.85,21.0,19.47,19.25,85923.34,-1.25,-6.03
2015-05-05,22.41,22.48,20.72,20.33,88378.98,-1.53,-6.88
2015-05-04,22.2,22.55,22.25,21.83,58271.87,-0.24,-1.07
2015-04-30,22.2,22.8,22.49,22.2,91975.28,0.4,1.81
2015-04-29,21.73,22.54,22.09,21.02,76585.19,0.34,1.56
2015-04-28,22.93,23.1,21.75,21.47,110698.53,-1.17,-5.11
2015-04-27,22.56,23.65,22.92,22.56,159325.12,1.42,6.61
2015-04-24,21.82,21.82,21.5,21.0,93312.18,-0.31,-1.42
2015-04-23,22.0,22.4,21.81,21.72,103143.46,-0.01,-0.05
2015-04-22,21.9,22.3,21.82,21.58,140738.84,0.11,0.51
2015-04-21,21.0,21.97,21.71,20.8,111028.8,0.44,2.07
2015-04-20,21.7,22.78,21.27,20.24,180490.12,-0.79,-3.58
2015-04-17,22.6,23.97,22.06,21.8,206773.17,-0.91,-3.96
2015-04-16,24.63,25.21,22.97,21.94,221070.31,-1.41,-5.78
2015-04-15,23.45,25.56,24.38,23.4,250311.59,1.14,4.91
2015-04-14,21.45,23.24,23.24,21.45,154693.44,2.11,9.99
2015-04-13,19.6,21.3,21.13,19.5,171822.69,1.7,8.75
2015-04-10,19.55,19.89,19.43,19.2,112962.15,-0.19,-0.97
2015-04-09,18.28,19.89,19.62,18.02,183119.05,1.2,6.51
2015-04-08,17.6,18.53,18.42,17.6,157725.97,0.88,5.02
2015-04-07,16.54,17.98,17.54,16.5,122471.85,0.88,5.28
2015-04-03,16.44,16.77,16.66,16.25,91962.88,0.22,1.34
2015-04-02,16.21,16.5,16.44,16.21,66336.32,0.15,0.92
2015-04-01,16.18,16.48,16.29,16.0,68609.42,0.12,0.74
2015-03-31,16.78,16.88,16.17,16.07,84467.62,-0.25,-1.52
2015-03-30,15.99,16.63,16.42,15.99,85090.45,0.65,4.12
2015-03-27,14.9,15.86,15.77,14.9,120352.13,0.84,5.63
2015-03-26,15.14,15.35,14.93,14.91,84877.75,-0.37,-2.42
2015-03-25,15.97,15.97,15.3,15.18,97174.4,-0.38,-2.42
2015-03-24,15.38,16.16,15.68,15.28,153390.08,0.3,1.95
2015-03-23,15.34,15.56,15.38,15.25,89461.32,0.04,0.26
2015-03-20,15.38,15.48,15.34,15.18,76800.13,-0.04,-0.26
2015-03-19,15.2,15.64,15.38,15.11,93644.19,0.07,0.46
2015-03-18,15.18,15.66,15.31,15.02,121538.71,0.13,0.86
2015-03-17,14.9,15.44,15.18,14.63,158770.77,0.31,2.08
2015-03-16,14.52,15.05,14.87,14.51,94468.3,0.4,2.76
2015-03-13,14.13,14.5,14.47,14.08,61342.22,0.36,2.55
2015-03-12,14.11,14.8,14.11,13.95,84978.37,-0.19,-1.33
2015-03-11,14.8,15.08,14.3,14.14,119708.43,-0.35,-2.39
2015-03-10,14.2,14.8,14.65,14.01,101213.51,0.34,2.38
2015-03-09,14.14,14.85,14.31,13.8,144945.66,0.03,0.21
2015-03-06,13.17,14.48,14.28,13.13,179831.72,1.12,8.51
2015-03-05,12.88,13.45,13.16,12.87,93180.39,0.26,2.02
2015-03-04,12.8,12.92,12.9,12.61,67075.44,0.2,1.57
2015-03-03,12.52,13.06,12.7,12.52,139071.61,0.18,1.44
2015-03-02,12.25,12.67,12.52,12.2,96291.73,0.32,2.62
